"","country","year","sex","age","cases"
"129","AT",2000,"m","65+",41
"130","AT",2000,"f","0-14",1
"131","AT",2000,"f","15-24",11
"132","AT",2000,"f","25-34",22
"133","AT",2000,"f","35-44",12
"134","AT",2000,"f","45-54",11
"135","AT",2000,"f","55-64",6
"136","AT",2000,"f","65+",22
"137","AU",2000,"m","0-14",3
"138","AU",2000,"m","15-24",16
"139","AU",2000,"m","25-34",35
"140","AU",2000,"m","35-44",25
"141","AU",2000,"m","45-54",24
"142","AU",2000,"m","55-64",19
"143","AU",2000,"m","65+",49
"144","AU",2000,"f","0-14",0
"145","AU",2000,"f","15-24",15
"146","AU",2000,"f","25-34",19
"147","AU",2000,"f","35-44",12
"148","AU",2000,"f","45-54",15
"149","AU",2000,"f","55-64",5
"150","AU",2000,"f","65+",14
"151","AZ",2000,"m","0-14",0
"152","AZ",2000,"m","15-24",9
"153","AZ",2000,"m","25-34",24
"154","AZ",2000,"m","35-44",33
"155","AZ",2000,"m","45-54",42
"156","AZ",2000,"m","55-64",30
"157","AZ",2000,"m","65+",0
"158","AZ",2000,"f","0-14",0
"159","AZ",2000,"f","15-24",3
"160","AZ",2000,"f","25-34",3
"161","AZ",2000,"f","35-44",6
"162","AZ",2000,"f","45-54",3
"163","AZ",2000,"f","55-64",0
"164","AZ",2000,"f","65+",0
"165","BA",2000,"m","0-14",4
"166","BA",2000,"m","15-24",56
"167","BA",2000,"m","25-34",82
"168","BA",2000,"m","35-44",99
"169","BA",2000,"m","45-54",66
"170","BA",2000,"m","55-64",58
"171","BA",2000,"m","65+",77
"172","BA",2000,"f","0-14",4
"173","BA",2000,"f","15-24",30
"174","BA",2000,"f","25-34",46
"175","BA",2000,"f","35-44",29
"176","BA",2000,"f","45-54",29
"177","BA",2000,"f","55-64",48
"178","BA",2000,"f","65+",124
"179","BB",2000,"m","0-14",0
"180","BB",2000,"m","15-24",0
"181","BB",2000,"m","25-34",0
"182","BB",2000,"m","35-44",2
"183","BB",2000,"m","45-54",0
"184","BB",2000,"m","55-64",0
"185","BB",2000,"m","65+",0
"186","BB",2000,"f","0-14",0
"187","BB",2000,"f","15-24",0
"188","BB",2000,"f","25-34",1
"189","BB",2000,"f","35-44",0
"190","BB",2000,"f","45-54",0
"191","BB",2000,"f","55-64",0
"192","BB",2000,"f","65+",0
"193","BD",2000,"m","0-14",256
"194","BD",2000,"m","15-24",3640
"195","BD",2000,"m","25-34",5643
"196","BD",2000,"m","35-44",5750
"197","BD",2000,"m","45-54",4718
"198","BD",2000,"m","55-64",3667
"199","BD",2000,"m","65+",2837
"200","BD",2000,"f","0-14",495
"201","BD",2000,"f","15-24",3029
"202","BD",2000,"f","25-34",3238
"203","BD",2000,"f","35-44",2247
"204","BD",2000,"f","45-54",1315
"205","BD",2000,"f","55-64",778
"206","BD",2000,"f","65+",370
"207","BE",2000,"m","0-14",3
"208","BE",2000,"m","15-24",20
"209","BE",2000,"m","25-34",57
"210","BE",2000,"m","35-44",39
"211","BE",2000,"m","45-54",55
"212","BE",2000,"m","55-64",32
"213","BE",2000,"m","65+",56
"214","BE",2000,"f","0-14",6
"215","BE",2000,"f","15-24",15
"216","BE",2000,"f","25-34",15
"217","BE",2000,"f","35-44",19
"218","BE",2000,"f","45-54",4
"219","BE",2000,"f","55-64",13
"220","BE",2000,"f","65+",27
"221","BF",2000,"m","0-14",12
"222","BF",2000,"m","15-24",91
"223","BF",2000,"m","25-34",274
"224","BF",2000,"m","35-44",252
"225","BF",2000,"m","45-54",133
"226","BF",2000,"m","55-64",68
"227","BF",2000,"m","65+",65
"228","BF",2000,"f","0-14",7
"229","BF",2000,"f","15-24",59
"230","BF",2000,"f","25-34",128
"231","BF",2000,"f","35-44",101
"232","BF",2000,"f","45-54",45
"233","BF",2000,"f","55-64",38
"234","BF",2000,"f","65+",14
"235","BG",2000,"m","0-14",0
"236","BG",2000,"m","15-24",13
"237","BG",2000,"m","25-34",16
"238","BG",2000,"m","35-44",20
"239","BG",2000,"m","45-54",3
"240","BG",2000,"m","55-64",9
"241","BG",2000,"m","65+",10
"242","BG",2000,"f","0-14",0
"243","BG",2000,"f","15-24",11
"244","BG",2000,"f","25-34",14
"245","BG",2000,"f","35-44",7
"246","BG",2000,"f","45-54",3
"247","BG",2000,"f","55-64",4
"248","BG",2000,"f","65+",6
"249","BH",2000,"m","0-14",0
"250","BH",2000,"m","15-24",0
"251","BH",2000,"m","25-34",3
"252","BH",2000,"m","35-44",2
"253","BH",2000,"m","45-54",5
"254","BH",2000,"m","55-64",3
"255","BH",2000,"m","65+",4
"256","BH",2000,"f","0-14",0
"257","BH",2000,"f","15-24",1
"258","BH",2000,"f","25-34",2
"259","BH",2000,"f","35-44",0
"260","BH",2000,"f","45-54",1
"261","BH",2000,"f","55-64",1
"262","BH",2000,"f","65+",1
"263","BJ",2000,"m","0-14",19
"264","BJ",2000,"m","15-24",277
"265","BJ",2000,"m","25-34",428
"266","BJ",2000,"m","35-44",327
"267","BJ",2000,"m","45-54",213
"268","BJ",2000,"m","55-64",103
"269","BJ",2000,"m","65+",74
"270","BJ",2000,"f","0-14",36
"271","BJ",2000,"f","15-24",239
"272","BJ",2000,"f","25-34",275
"273","BJ",2000,"f","35-44",149
"274","BJ",2000,"f","45-54",76
"275","BJ",2000,"f","55-64",45
"276","BJ",2000,"f","65+",25
"277","BN",2000,"m","0-14",0
"278","BN",2000,"m","15-24",6
"279","BN",2000,"m","25-34",4
"280","BN",2000,"m","35-44",15
"281","BN",2000,"m","45-54",5
"282","BN",2000,"m","55-64",7
"283","BN",2000,"m","65+",15
"284","BN",2000,"f","0-14",0
"285","BN",2000,"f","15-24",4
"286","BN",2000,"f","25-34",6
"287","BN",2000,"f","35-44",9
"288","BN",2000,"f","45-54",6
"289","BN",2000,"f","55-64",3
"290","BN",2000,"f","65+",4
"291","BO",2000,"m","0-14",166
"292","BO",2000,"m","15-24",1182
"293","BO",2000,"m","25-34",797
"294","BO",2000,"m","35-44",518
"295","BO",2000,"m","45-54",466
"296","BO",2000,"m","55-64",340
"297","BO",2000,"m","65+",366
"298","BO",2000,"f","0-14",191
"299","BO",2000,"f","15-24",831
"300","BO",2000,"f","25-34",588
"301","BO",2000,"f","35-44",334
"302","BO",2000,"f","45-54",254
"303","BO",2000,"f","55-64",192
"304","BO",2000,"f","65+",233
"305","BR",2000,"m","0-14",1894
"306","BR",2000,"m","15-24",7268
"307","BR",2000,"m","25-34",11568
"308","BR",2000,"m","35-44",11906
"309","BR",2000,"m","45-54",8623
"310","BR",2000,"m","55-64",5085
"311","BR",2000,"m","65+",4494
"312","BR",2000,"f","0-14",1859
"313","BR",2000,"f","15-24",6719
"314","BR",2000,"f","25-34",7215
"315","BR",2000,"f","35-44",5395
"316","BR",2000,"f","45-54",3582
"317","BR",2000,"f","55-64",2384
"318","BR",2000,"f","65+",2496
"319","BS",2000,"m","0-14",1
"320","BS",2000,"m","15-24",2
"321","BS",2000,"m","25-34",7
"322","BS",2000,"m","35-44",9
"323","BS",2000,"m","45-54",4
"324","BS",2000,"m","55-64",3
"325","BS",2000,"m","65+",2
"326","BS",2000,"f","0-14",2
"327","BS",2000,"f","15-24",5
"328","BS",2000,"f","25-34",7
"329","BS",2000,"f","35-44",8
"330","BS",2000,"f","45-54",2
"331","BS",2000,"f","55-64",3
"332","BS",2000,"f","65+",1
"333","BT",2000,"m","0-14",6
"334","BT",2000,"m","15-24",65
"335","BT",2000,"m","25-34",41
"336","BT",2000,"m","35-44",30
"337","BT",2000,"m","45-54",24
"338","BT",2000,"m","55-64",12
"339","BT",2000,"m","65+",2
"340","BT",2000,"f","0-14",7
"341","BT",2000,"f","15-24",57
"342","BT",2000,"f","25-34",34
"343","BT",2000,"f","35-44",31
"344","BT",2000,"f","45-54",23
"345","BT",2000,"f","55-64",3
"346","BT",2000,"f","65+",2
"347","BW",2000,"m","0-14",25
"348","BW",2000,"m","15-24",185
"349","BW",2000,"m","25-34",605
"350","BW",2000,"m","35-44",488
"351","BW",2000,"m","45-54",267
"352","BW",2000,"m","55-64",135
"353","BW",2000,"m","65+",96
"354","BW",2000,"f","0-14",37
"355","BW",2000,"f","15-24",335
"356","BW",2000,"f","25-34",469
"357","BW",2000,"f","35-44",262
"358","BW",2000,"f","45-54",98
"359","BW",2000,"f","55-64",57
"360","BW",2000,"f","65+",36
"361","BZ",2000,"m","0-14",2
"362","BZ",2000,"m","15-24",5
"363","BZ",2000,"m","25-34",7
"364","BZ",2000,"m","35-44",2
"365","BZ",2000,"m","45-54",6
"366","BZ",2000,"m","55-64",3
"367","BZ",2000,"m","65+",5
"368","BZ",2000,"f","0-14",0
"369","BZ",2000,"f","15-24",2
"370","BZ",2000,"f","25-34",1
"371","BZ",2000,"f","35-44",2
"372","BZ",2000,"f","45-54",4
"373","BZ",2000,"f","55-64",1
"374","BZ",2000,"f","65+",4
"375","CA",2000,"m","0-14",5
"376","CA",2000,"m","15-24",34
"377","CA",2000,"m","25-34",45
"378","CA",2000,"m","35-44",46
"379","CA",2000,"m","45-54",41
"380","CA",2000,"m","55-64",32
"381","CA",2000,"m","65+",79
"382","CA",2000,"f","0-14",4
"383","CA",2000,"f","15-24",33
"384","CA",2000,"f","25-34",40
"385","CA",2000,"f","35-44",30
"386","CA",2000,"f","45-54",25
"387","CA",2000,"f","55-64",12
"388","CA",2000,"f","65+",66
"389","CD",2000,"m","0-14",485
"390","CD",2000,"m","15-24",4048
"391","CD",2000,"m","25-34",5833
"392","CD",2000,"m","35-44",4151
"393","CD",2000,"m","45-54",2549
"394","CD",2000,"m","55-64",1295
"395","CD",2000,"m","65+",602
"396","CD",2000,"f","0-14",718
"397","CD",2000,"f","15-24",4422
"398","CD",2000,"f","25-34",5146
"399","CD",2000,"f","35-44",3309
"400","CD",2000,"f","45-54",1724
"401","CD",2000,"f","55-64",855
"402","CD",2000,"f","65+",351
"403","CH",2000,"m","0-14",0
"404","CH",2000,"m","15-24",5
"405","CH",2000,"m","25-34",18
"406","CH",2000,"m","35-44",10
"407","CH",2000,"m","45-54",7
"408","CH",2000,"m","55-64",5
"409","CH",2000,"m","65+",8
"410","CH",2000,"f","0-14",1
"411","CH",2000,"f","15-24",9
"412","CH",2000,"f","25-34",12
"413","CH",2000,"f","35-44",8
"414","CH",2000,"f","45-54",2
"415","CH",2000,"f","55-64",1
"416","CH",2000,"f","65+",6
"417","CK",2000,"m","0-14",0
"418","CK",2000,"m","15-24",0
"419","CK",2000,"m","25-34",0
"420","CK",2000,"m","35-44",0
"421","CK",2000,"m","45-54",0
"422","CK",2000,"m","55-64",0
"423","CK",2000,"m","65+",0
"424","CK",2000,"f","0-14",0
"425","CK",2000,"f","15-24",0
"426","CK",2000,"f","25-34",0
"427","CK",2000,"f","35-44",0
"428","CK",2000,"f","45-54",0
"429","CK",2000,"f","55-64",0
"430","CK",2000,"f","65+",0
"431","CL",2000,"m","0-14",6
"432","CL",2000,"m","15-24",81
"433","CL",2000,"m","25-34",160
"434","CL",2000,"m","35-44",198
"435","CL",2000,"m","45-54",150
"436","CL",2000,"m","55-64",132
"437","CL",2000,"m","65+",126
"438","CL",2000,"f","0-14",10
"439","CL",2000,"f","15-24",66
"440","CL",2000,"f","25-34",96
"441","CL",2000,"f","35-44",70
"442","CL",2000,"f","45-54",54
"443","CL",2000,"f","55-64",58
"444","CL",2000,"f","65+",83
"445","CM",2000,"m","0-14",41
"446","CM",2000,"m","15-24",518
"447","CM",2000,"m","25-34",842
"448","CM",2000,"m","35-44",584
"449","CM",2000,"m","45-54",284
"450","CM",2000,"m","55-64",130
"451","CM",2000,"m","65+",75
"452","CM",2000,"f","0-14",63
"453","CM",2000,"f","15-24",368
"454","CM",2000,"f","25-34",530
"455","CM",2000,"f","35-44",293
"456","CM",2000,"f","45-54",139
"457","CM",2000,"f","55-64",60
"458","CM",2000,"f","65+",33
"459","CN",2000,"m","0-14",1131
"460","CN",2000,"m","15-24",19111
"461","CN",2000,"m","25-34",29399
"462","CN",2000,"m","35-44",25206
"463","CN",2000,"m","45-54",25593
"464","CN",2000,"m","55-64",21429
"465","CN",2000,"m","65+",21771
"466","CN",2000,"f","0-14",1420
"467","CN",2000,"f","15-24",14536
"468","CN",2000,"f","25-34",18496
"469","CN",2000,"f","35-44",12377
"470","CN",2000,"f","45-54",9899
"471","CN",2000,"f","55-64",7102
"472","CN",2000,"f","65+",6296
"473","CO",2000,"m","0-14",246
"474","CO",2000,"m","15-24",763
"475","CO",2000,"m","25-34",1030
"476","CO",2000,"m","35-44",963
"477","CO",2000,"m","45-54",743
"478","CO",2000,"m","55-64",610
"479","CO",2000,"m","65+",746
"480","CO",2000,"f","0-14",194
"481","CO",2000,"f","15-24",587
"482","CO",2000,"f","25-34",758
"483","CO",2000,"f","35-44",523
"484","CO",2000,"f","45-54",381
"485","CO",2000,"f","55-64",304
"486","CO",2000,"f","65+",510
"487","CR",2000,"m","0-14",14
"488","CR",2000,"m","15-24",31
"489","CR",2000,"m","25-34",53
"490","CR",2000,"m","35-44",62
"491","CR",2000,"m","45-54",39
"492","CR",2000,"m","55-64",28
"493","CR",2000,"m","65+",49
"494","CR",2000,"f","0-14",13
"495","CR",2000,"f","15-24",21
"496","CR",2000,"f","25-34",33
"497","CR",2000,"f","35-44",24
"498","CR",2000,"f","45-54",20
"499","CR",2000,"f","55-64",23
"500","CR",2000,"f","65+",24
"501","CU",2000,"m","0-14",0
"502","CU",2000,"m","15-24",71
"503","CU",2000,"m","25-34",167
"504","CU",2000,"m","35-44",90
"505","CU",2000,"m","45-54",74
"506","CU",2000,"m","55-64",55
"507","CU",2000,"m","65+",75
"508","CU",2000,"f","0-14",2
"509","CU",2000,"f","15-24",9
"510","CU",2000,"f","25-34",22
"511","CU",2000,"f","35-44",26
"512","CU",2000,"f","45-54",22
"513","CU",2000,"f","55-64",23
"514","CU",2000,"f","65+",39
"515","CZ",2000,"m","0-14",0
"516","CZ",2000,"m","15-24",7
"517","CZ",2000,"m","25-34",31
"518","CZ",2000,"m","35-44",52
"519","CZ",2000,"m","45-54",89
"520","CZ",2000,"m","55-64",61
"521","CZ",2000,"m","65+",59
"522","CZ",2000,"f","0-14",0
"523","CZ",2000,"f","15-24",15
"524","CZ",2000,"f","25-34",13
"525","CZ",2000,"f","35-44",9
"526","CZ",2000,"f","45-54",10
"527","CZ",2000,"f","55-64",7
"528","CZ",2000,"f","65+",57
"529","DJ",2000,"m","0-14",17
"530","DJ",2000,"m","15-24",302
"531","DJ",2000,"m","25-34",347
"532","DJ",2000,"m","35-44",139
"533","DJ",2000,"m","45-54",67
"534","DJ",2000,"m","55-64",60
"535","DJ",2000,"m","65+",42
"536","DJ",2000,"f","0-14",12
"537","DJ",2000,"f","15-24",147
"538","DJ",2000,"f","25-34",156
"539","DJ",2000,"f","35-44",47
"540","DJ",2000,"f","45-54",31
"541","DJ",2000,"f","55-64",17
"542","DJ",2000,"f","65+",10
"543","DK",2000,"m","0-14",5
"544","DK",2000,"m","15-24",10
"545","DK",2000,"m","25-34",20
"546","DK",2000,"m","35-44",24
"547","DK",2000,"m","45-54",16
"548","DK",2000,"m","55-64",11
"549","DK",2000,"m","65+",14
"550","DK",2000,"f","0-14",5
"551","DK",2000,"f","15-24",16
"552","DK",2000,"f","25-34",15
"553","DK",2000,"f","35-44",14
"554","DK",2000,"f","45-54",6
"555","DK",2000,"f","55-64",7
"556","DK",2000,"f","65+",8
"557","DO",2000,"m","0-14",73
"558","DO",2000,"m","15-24",410
"559","DO",2000,"m","25-34",481
"560","DO",2000,"m","35-44",344
"561","DO",2000,"m","45-54",173
"562","DO",2000,"m","55-64",125
"563","DO",2000,"m","65+",113
"564","DO",2000,"f","0-14",65
"565","DO",2000,"f","15-24",317
"566","DO",2000,"f","25-34",325
"567","DO",2000,"f","35-44",212
"568","DO",2000,"f","45-54",115
"569","DO",2000,"f","55-64",79
"570","DO",2000,"f","65+",75
"571","DZ",2000,"m","0-14",59
"572","DZ",2000,"m","15-24",927
"573","DZ",2000,"m","25-34",1516
"574","DZ",2000,"m","35-44",610
"575","DZ",2000,"m","45-54",491
"576","DZ",2000,"m","55-64",234
"577","DZ",2000,"m","65+",299
"578","DZ",2000,"f","0-14",36
"579","DZ",2000,"f","15-24",1005
"580","DZ",2000,"f","25-34",1293
"581","DZ",2000,"f","35-44",746
"582","DZ",2000,"f","45-54",314
"583","DZ",2000,"f","55-64",208
"584","DZ",2000,"f","65+",312
"585","EE",2000,"m","0-14",0
"586","EE",2000,"m","15-24",6
"587","EE",2000,"m","25-34",31
"588","EE",2000,"m","35-44",53
"589","EE",2000,"m","45-54",56
"590","EE",2000,"m","55-64",35
"591","EE",2000,"m","65+",15
"592","EE",2000,"f","0-14",0
"593","EE",2000,"f","15-24",9
"594","EE",2000,"f","25-34",11
"595","EE",2000,"f","35-44",14
"596","EE",2000,"f","45-54",11
"597","EE",2000,"f","55-64",4
"598","EE",2000,"f","65+",10
"599","EG",2000,"m","0-14",21
"600","EG",2000,"m","15-24",641
"601","EG",2000,"m","25-34",827
"602","EG",2000,"m","35-44",667
"603","EG",2000,"m","45-54",476
"604","EG",2000,"m","55-64",307
"605","EG",2000,"m","65+",158
"606","EG",2000,"f","0-14",55
"607","EG",2000,"f","15-24",457
"608","EG",2000,"f","25-34",343
"609","EG",2000,"f","35-44",257
"610","EG",2000,"f","45-54",211
"611","EG",2000,"f","55-64",112
"612","EG",2000,"f","65+",48
"613","ER",2000,"m","0-14",9
"614","ER",2000,"m","15-24",70
"615","ER",2000,"m","25-34",75
"616","ER",2000,"m","35-44",57
"617","ER",2000,"m","45-54",32
"618","ER",2000,"m","55-64",25
"619","ER",2000,"m","65+",20
"620","ER",2000,"f","0-14",10
"621","ER",2000,"f","15-24",100
"622","ER",2000,"f","25-34",87
"623","ER",2000,"f","35-44",71
"624","ER",2000,"f","45-54",21
"625","ER",2000,"f","55-64",12
"626","ER",2000,"f","65+",8
"627","ET",2000,"m","0-14",915
"628","ET",2000,"m","15-24",5095
"629","ET",2000,"m","25-34",5187
"630","ET",2000,"m","35-44",3082
"631","ET",2000,"m","45-54",1495
"632","ET",2000,"m","55-64",610
"633","ET",2000,"m","65+",397
"634","ET",2000,"f","0-14",1037
"635","ET",2000,"f","15-24",4699
"636","ET",2000,"f","25-34",4424
"637","ET",2000,"f","35-44",2105
"638","ET",2000,"f","45-54",976
"639","ET",2000,"f","55-64",366
"640","ET",2000,"f","65+",122
"641","FI",2000,"m","0-14",0
"642","FI",2000,"m","15-24",3
"643","FI",2000,"m","25-34",8
"644","FI",2000,"m","35-44",22
"645","FI",2000,"m","45-54",19
"646","FI",2000,"m","55-64",28
"647","FI",2000,"m","65+",53
"648","FI",2000,"f","0-14",0
"649","FI",2000,"f","15-24",1
"650","FI",2000,"f","25-34",5
"651","FI",2000,"f","35-44",3
"652","FI",2000,"f","45-54",4
"653","FI",2000,"f","55-64",6
"654","FI",2000,"f","65+",49
"655","FJ",2000,"m","0-14",0
"656","FJ",2000,"m","15-24",8
"657","FJ",2000,"m","25-34",6
"658","FJ",2000,"m","35-44",13
"659","FJ",2000,"m","45-54",5
"660","FJ",2000,"m","55-64",4
"661","FJ",2000,"m","65+",2
"662","FJ",2000,"f","0-14",0
"663","FJ",2000,"f","15-24",7
"664","FJ",2000,"f","25-34",5
"665","FJ",2000,"f","35-44",7
"666","FJ",2000,"f","45-54",1
"667","FJ",2000,"f","55-64",4
"668","FJ",2000,"f","65+",0
"669","FM",2000,"m","0-14",0
"670","FM",2000,"m","15-24",2
"671","FM",2000,"m","25-34",0
"672","FM",2000,"m","35-44",1
"673","FM",2000,"m","45-54",0
"674","FM",2000,"m","55-64",0
"675","FM",2000,"m","65+",1
"676","FM",2000,"f","0-14",4
"677","FM",2000,"f","15-24",3
"678","FM",2000,"f","25-34",1
"679","FM",2000,"f","35-44",1
"680","FM",2000,"f","45-54",0
"681","FM",2000,"f","55-64",1
"682","FM",2000,"f","65+",1
"683","FR",2000,"m","0-14",10
"684","FR",2000,"m","15-24",136
"685","FR",2000,"m","25-34",248
"686","FR",2000,"m","35-44",247
"687","FR",2000,"m","45-54",211
"688","FR",2000,"m","55-64",125
"689","FR",2000,"m","65+",244
"690","FR",2000,"f","0-14",18
"691","FR",2000,"f","15-24",108
"692","FR",2000,"f","25-34",127
"693","FR",2000,"f","35-44",89
"694","FR",2000,"f","45-54",46
"695","FR",2000,"f","55-64",43
"696","FR",2000,"f","65+",155
"697","GB",2000,"m","0-14",8
"698","GB",2000,"m","15-24",86
"699","GB",2000,"m","25-34",130
"700","GB",2000,"m","35-44",96
"701","GB",2000,"m","45-54",87
"702","GB",2000,"m","55-64",75
"703","GB",2000,"m","65+",138
"704","GB",2000,"f","0-14",9
"705","GB",2000,"f","15-24",95
"706","GB",2000,"f","25-34",114
"707","GB",2000,"f","35-44",60
"708","GB",2000,"f","45-54",31
"709","GB",2000,"f","55-64",31
"710","GB",2000,"f","65+",67
"711","GE",2000,"m","0-14",4
"712","GE",2000,"m","15-24",76
"713","GE",2000,"m","25-34",111
"714","GE",2000,"m","35-44",113
"715","GE",2000,"m","45-54",63
"716","GE",2000,"m","55-64",45
"717","GE",2000,"m","65+",28
"718","GE",2000,"f","0-14",1
"719","GE",2000,"f","15-24",49
"720","GE",2000,"f","25-34",37
"721","GE",2000,"f","35-44",33
"722","GE",2000,"f","45-54",17
"723","GE",2000,"f","55-64",10
"724","GE",2000,"f","65+",5
"725","GH",2000,"m","0-14",73
"726","GH",2000,"m","15-24",550
"727","GH",2000,"m","25-34",1266
"728","GH",2000,"m","35-44",1115
"729","GH",2000,"m","45-54",811
"730","GH",2000,"m","55-64",495
"731","GH",2000,"m","65+",426
"732","GH",2000,"f","0-14",74
"733","GH",2000,"f","15-24",456
"734","GH",2000,"f","25-34",791
"735","GH",2000,"f","35-44",566
"736","GH",2000,"f","45-54",338
"737","GH",2000,"f","55-64",179
"738","GH",2000,"f","65+",176
"739","GN",2000,"m","0-14",39
"740","GN",2000,"m","15-24",551
"741","GN",2000,"m","25-34",860
"742","GN",2000,"m","35-44",570
"743","GN",2000,"m","45-54",282
"744","GN",2000,"m","55-64",203
"745","GN",2000,"m","65+",103
"746","GN",2000,"f","0-14",66
"747","GN",2000,"f","15-24",314
"748","GN",2000,"f","25-34",446
"749","GN",2000,"f","35-44",245
"750","GN",2000,"f","45-54",114
"751","GN",2000,"f","55-64",82
"752","GN",2000,"f","65+",45
"753","GR",2000,"m","0-14",1
"754","GR",2000,"m","15-24",10
"755","GR",2000,"m","25-34",22
"756","GR",2000,"m","35-44",32
"757","GR",2000,"m","45-54",24
"758","GR",2000,"m","55-64",19
"759","GR",2000,"m","65+",46
"760","GR",2000,"f","0-14",0
"761","GR",2000,"f","15-24",2
"762","GR",2000,"f","25-34",9
"763","GR",2000,"f","35-44",10
"764","GR",2000,"f","45-54",5
"765","GR",2000,"f","55-64",6
"766","GR",2000,"f","65+",25
"767","GT",2000,"m","0-14",36
"768","GT",2000,"m","15-24",220
"769","GT",2000,"m","25-34",236
"770","GT",2000,"m","35-44",216
"771","GT",2000,"m","45-54",177
"772","GT",2000,"m","55-64",112
"773","GT",2000,"m","65+",140
